측정년도,측정월,측정소,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
2021,10,영등포구,15,28,0.4,0.02,0.026,0.003
2021,11,영등포구,27,46,0.5,0.016,0.035,0.004
2021,12,영등포구,24,38,0.6,0.012,0.033,0.003
2016,1,동작구,27,44,0.6,0.015,0.04,0.005
2016,2,동작구,22,38,0.6,0.02,0.037,0.005
2016,3,동작구,37,61,0.5,0.026,0.039,0.005
2016,4,동작구,34,69,0.5,0.03,0.036,0.005
2016,5,동작구,26,51,0.4,0.04,0.03,0.004
2016,6,동작구,24,41,0.4,0.036,0.028,0.004
2016,7,동작구,17,28,0.4,0.026,0.024,0.004
2016,8,동작구,18,29,0.3,0.028,0.025,0.004
2016,9,동작구,23,35,0.5,0.026,0.028,0.004
2016,10,동작구,16,34,0.5,0.014,0.032,0.003
2016,11,동작구,27,46,0.6,0.015,0.037,0.004
2016,12,동작구,27,43,0.6,0.01,0.041,0.004
2017,1,동작구,34,47,0.7,0.015,0.04,0.004
2017,2,동작구,28,41,0.6,0.021,0.004,0.004
2017,3,동작구,37,54,0.6,0.03,0.005,0.005
2017,4,동작구,26,49,0.5,0.041,0.031,0.004
2017,5,동작구,23,52,0.4,0.046,0.026,0.004
2017,6,동작구,22,38,0.4,0.043,0.024,0.003
2017,7,동작구,24,37,0.3,0.03,0.021,0.003
2017,8,동작구,13,24,0.3,0.025,0.022,0.003
2017,9,동작구,20,33,0.4,0.028,0.029,0.004
2017,10,동작구,15,32,0.4,0.02,0.03,0.003
2017,11,동작구,25,45,0.5,0.015,0.036,0.004
2017,12,동작구,34,51,0.6,0.011,0.038,0.004
2018,1,동작구,35,52,0.6,0.014,0.038,0.004
2018,2,동작구,32,53,0.6,0.019,0.036,0.005
2018,3,동작구,34,50,0.5,0.026,0.034,0.004
2018,4,동작구,23,47,0.4,0.031,0.03,0.004
2018,5,동작구,22,42,0.4,0.037,0.023,0.003
2018,6,동작구,24,37,0.4,0.039,0.022,0.004
2018,7,동작구,14,28,0.3,0.027,0.018,0.004
2018,8,동작구,12,25,0.3,0.032,0.017,0.003
2018,9,동작구,8,21,0.4,0.029,0.02,0.003
2018,10,동작구,12,29,0.5,0.02,0.03,0.003
2018,11,동작구,24,53,0.6,0.012,0.043,0.004
2018,12,동작구,24,44,0.6,0.012,0.041,0.004
2019,1,동작구,40,64,0.7,0.013,0.044,0.004
2019,2,동작구,39,59,0.6,0.019,0.041,0.004
2019,3,동작구,46,68,0.5,0.031,0.036,0.004
2019,4,동작구,19,39,0.4,0.031,0.031,0.003
2019,5,동작구,27,48,0.4,0.042,0.027,0.004
2019,6,동작구,18,29,0.4,0.036,0.021,0.003
2019,7,동작구,22,30,0.3,0.028,0.017,0.003
2019,8,동작구,20,30,0.4,0.029,0.018,0.003
2019,9,동작구,12,29,0.4,0.02,0.023,0.003
2019,10,동작구,17,35,0.4,0.018,0.027,0.003
2019,11,동작구,24,44,0.5,0.012,0.038,0.003
2019,12,동작구,32,46,0.6,0.01,0.039,0.003
2020,1,동작구,32,50,0.6,0.012,0.039,0.003
2020,2,동작구,31,48,0.5,0.016,0.034,0.003
2020,3,동작구,28,51,0.4,0.023,0.028,0.003
2020,4,동작구,23,49,0.4,0.031,0.02,0.003
2020,5,동작구,20,39,0.4,0.028,0.019,0.002
2020,6,동작구,21,39,0.4,0.038,0.018,0.003
2020,7,동작구,15,25,0.4,0.026,0.016,0.002
2020,8,동작구,16,27,0.3,0.018,0.014,0.003
2020,9,동작구,12,24,0.3,0.026,0.017,0.003
2020,10,동작구,19,38,0.4,0.025,0.027,0.003
2020,11,동작구,24,44,0.5,0.016,0.032,0.003
2020,12,동작구,28,44,0.5,0.014,0.034,0.003
2021,1,동작구,24,40,0.5,0.014,0.034,0.003
2021,2,동작구,32,51,0.5,0.023,0.03,0.003
2021,3,동작구,34,69,0.5,0.025,0.033,0.003
2021,4,동작구,19,44,0.4,0.038,0.023,0.003
2021,5,동작구,22,64,0.4,0.038,0.018,0.003
2021,6,동작구,20,36,0.4,0.04,0.017,0.003
2021,7,동작구,15,27,0.3,0.034,0.015,0.003
2021,8,동작구,13,25,0.3,0.029,0.015,0.003
2021,9,동작구,8,17,0.3,0.029,0.015,0.002
2021,10,동작구,13,29,0.4,0.022,0.023,0.002
2021,11,동작구,27,47,0.5,0.02,0.032,0.003
2021,12,동작구,25,43,0.6,0.014,0.036,0.003
2016,1,관악구,29,49,0.7,0.013,0.042,0.005
2016,2,관악구,25,45,0.7,0.018,0.037,0.006
2016,3,관악구,33,62,0.6,0.027,0.035,0.006
2016,4,관악구,31,66,0.6,0.032,0.038,0.005
2016,5,관악구,32,55,0.5,0.043,0.032,0.005
2016,6,관악구,32,50,0.5,0.043,0.027,0.005
2016,7,관악구,25,38,0.4,0.027,0.026,0.005
2016,8,관악구,26,38,0.4,0.033,0.028,0.006
2016,9,관악구,26,40,0.5,0.032,0.032,0.006
2016,10,관악구,24,39,0.5,0.02,0.037,0.006
2016,11,관악구,31,50,0.7,0.016,0.042,0.007
2016,12,관악구,32,45,0.8,0.01,0.046,0.006
2017,1,관악구,34,49,0.7,0.013,0.045,0.007
2017,2,관악구,30,43,0.7,0.018,0.007,0.007
2017,3,관악구,41,55,0.7,0.025,0.005,0.005
2017,4,관악구,27,59,0.5,0.038,0.033,0.004
2017,5,관악구,28,64,0.4,0.044,0.028,0.005
2017,6,관악구,29,48,0.4,0.042,0.024,0.004
2017,7,관악구,29,35,0.4,0.028,0.023,0.005
2017,8,관악구,13,23,0.3,0.023,0.025,0.005
2017,9,관악구,18,32,0.4,0.025,0.028,0.005
2017,10,관악구,14,28,0.4,0.017,0.027,0.006
2017,11,관악구,19,37,0.5,0.012,0.034,0.006
2017,12,관악구,33,45,0.5,0.009,0.035,0.007
2018,1,관악구,35,47,0.5,0.012,0.039,0.007
2018,2,관악구,33,48,0.5,0.017,0.038,0.007
2018,3,관악구,39,57,0.5,0.026,0.036,0.004
2018,4,관악구,30,57,0.5,0.032,0.035,0.004
2018,5,관악구,28,50,0.4,0.034,0.027,0.003
2018,6,관악구,30,44,0.3,0.037,0.028,0.004
2018,7,관악구,16,26,0.3,0.026,0.022,0.004
2018,8,관악구,15,25,0.3,0.032,0.021,0.003
2018,9,관악구,14,25,0.3,0.027,0.022,0.003
2018,10,관악구,20,35,0.4,0.016,0.033,0.003
2018,11,관악구,38,61,0.6,0.009,0.044,0.004
2018,12,관악구,29,47,0.6,0.012,0.042,0.005
2019,1,관악구,42,72,0.7,0.011,0.047,0.005
2019,2,관악구,39,63,0.6,0.016,0.042,0.005
2019,3,관악구,50,76,0.5,0.034,0.033,0.006
2019,4,관악구,26,48,0.4,0.032,0.03,0.004
2019,5,관악구,34,62,0.4,0.046,0.028,0.004
2019,6,관악구,23,35,0.3,0.043,0.022,0.004
2019,7,관악구,14,26,0.2,0.042,0.019,0.004
2019,8,관악구,13,24,0.3,0.031,0.02,0.004
2019,9,관악구,14,34,0.4,0.024,0.025,0.004
2019,10,관악구,15,45,0.5,0.013,0.019,0.003
2019,11,관악구,20,44,0.6,0.011,0.039,0.004
2019,12,관악구,27,43,0.6,0.011,0.039,0.003
2020,1,관악구,28,43,0.7,0.012,0.04,0.004
2020,2,관악구,27,41,0.6,0.016,0.037,0.003
2020,3,관악구,23,45,0.5,0.024,0.032,0.004
2020,4,관악구,18,43,0.4,0.035,0.023,0.003
2020,5,관악구,17,35,0.5,0.033,0.023,0.003
2020,6,관악구,20,37,0.5,0.044,0.022,0.003
2020,7,관악구,13,23,0.4,0.03,0.02,0.003
2020,8,관악구,14,24,0.3,0.021,0.015,0.003
2020,9,관악구,10,21,0.4,0.028,0.019,0.003
2020,10,관악구,17,33,0.5,0.022,0.031,0.003
2020,11,관악구,21,38,0.6,0.014,0.037,0.004
2020,12,관악구,22,36,0.6,0.013,0.037,0.004
2021,1,관악구,17,33,0.6,0.012,0.037,0.004
2021,2,관악구,27,44,0.6,0.02,0.035,0.003
2021,3,관악구,29,61,0.6,0.022,0.039,0.003
2021,4,관악구,17,38,0.4,0.034,0.027,0.003
2021,5,관악구,19,57,0.4,0.033,0.023,0.003
2021,6,관악구,19,33,0.5,0.04,0.022,0.003
2021,7,관악구,15,25,0.4,0.044,0.018,0.003
2021,8,관악구,13,22,0.4,0.037,0.016,0.003
2021,9,관악구,7,15,0.4,0.038,0.015,0.002
2021,10,관악구,13,26,0.5,0.026,0.025,0.003
2021,11,관악구,25,42,0.6,0.019,0.034,0.003
2021,12,관악구,22,36,0.7,0.012,0.035,0.003
2016,1,강남구,26,53,0.6,0.017,0.036,0.006
2016,2,강남구,22,48,0.5,0.02,0.034,0.006
2016,3,강남구,31,67,0.5,0.026,0.04,0.006
2016,4,강남구,31,78,0.5,0.033,0.037,0.006
2016,5,강남구,31,55,0.4,0.041,0.033,0.006
2016,6,강남구,31,46,0.4,0.034,0.029,0.005
2016,7,강남구,23,34,0.3,0.023,0.025,0.004
2016,8,강남구,24,38,0.4,0.027,0.027,0.004
2016,9,강남구,26,42,0.4,0.024,0.028,0.004
2016,10,강남구,21,41,0.4,0.015,0.031,0.004
2016,11,강남구,30,58,0.5,0.012,0.036,0.005
2016,12,강남구,30,51,0.6,0.008,0.035,0.006
2017,1,강남구,32,58,0.6,0.012,0.034,0.005
2017,2,강남구,30,51,0.6,0.016,0.005,0.005
2017,3,강남구,44,64,0.5,0.021,0.006,0.006
2017,4,강남구,25,57,0.4,0.029,0.032,0.005
2017,5,강남구,23,62,0.3,0.032,0.027,0.005
2017,6,강남구,22,43,0.3,0.032,0.024,0.005
2017,7,강남구,23,35,0.4,0.024,0.021,0.005
2017,8,강남구,12,22,0.3,0.019,0.022,0.005
2017,9,강남구,19,33,0.4,0.022,0.027,0.005
2017,10,강남구,15,27,0.4,0.016,0.027,0.005
2017,11,강남구,25,41,0.5,0.011,0.033,0.005
2017,12,강남구,34,42,0.6,0.008,0.036,0.006
2018,1,강남구,33,43,0.6,0.009,0.037,0.006
2018,2,강남구,30,50,0.6,0.012,0.036,0.006
2018,3,강남구,34,47,0.5,0.017,0.038,0.006
2018,4,강남구,24,47,0.4,0.021,0.035,0.005
2018,5,강남구,22,37,0.4,0.024,0.028,0.005
2018,6,강남구,23,32,0.4,0.03,0.028,0.005
2018,7,강남구,15,21,0.3,0.02,0.022,0.005
2018,8,강남구,11,19,0.3,0.024,0.021,0.005
2018,9,강남구,7,16,0.4,0.019,0.024,0.005
2018,10,강남구,12,24,0.4,0.014,0.032,0.005
2018,11,강남구,25,48,0.6,0.009,0.041,0.006
2018,12,강남구,24,40,0.6,0.009,0.032,0.006
2019,1,강남구,43,61,0.7,0.01,0.036,0.006
2019,2,강남구,41,54,0.6,0.014,0.034,0.006
2019,3,강남구,47,64,0.5,0.023,0.03,0.006
2019,4,강남구,18,34,0.3,0.023,0.027,0.006
2019,5,강남구,26,43,0.4,0.037,0.025,0.006
2019,6,강남구,16,24,0.3,0.035,0.018,0.005
2019,7,강남구,18,29,0.3,0.027,0.015,0.005
2019,8,강남구,16,29,0.4,0.024,0.017,0.005
2019,9,강남구,11,24,0.3,0.024,0.025,0.003
2019,10,강남구,14,33,0.4,0.023,0.032,0.003
2019,11,강남구,19,44,0.6,0.015,0.036,0.003
2019,12,강남구,28,43,0.6,0.011,0.036,0.003
2020,1,강남구,28,39,0.7,0.014,0.035,0.003
2020,2,강남구,25,38,0.6,0.019,0.034,0.003
2020,3,강남구,26,41,0.5,0.027,0.03,0.003
2020,4,강남구,21,38,0.4,0.038,0.022,0.003
2020,5,강남구,19,31,0.4,0.036,0.022,0.002
2020,6,강남구,22,34,0.4,0.046,0.022,0.003
2020,7,강남구,15,20,0.4,0.03,0.019,0.002
2020,8,강남구,17,23,0.3,0.019,0.017,0.003
2020,9,강남구,12,18,0.4,0.028,0.017,0.003
2020,10,강남구,17,29,0.5,0.022,0.024,0.003
2020,11,강남구,24,36,0.6,0.015,0.031,0.004
2020,12,강남구,28,37,0.6,0.014,0.031,0.004
2021,1,강남구,22,33,0.6,0.014,0.03,0.004
2021,2,강남구,31,46,0.6,0.022,0.029,0.004
2021,3,강남구,34,64,0.6,0.025,0.033,0.004
2021,4,강남구,20,40,0.4,0.038,0.023,0.003
2021,5,강남구,19,60,0.4,0.036,0.02,0.003
2021,6,강남구,21,34,0.4,0.041,0.02,0.003
2021,7,강남구,16,26,0.3,0.037,0.017,0.003
2021,8,강남구,14,22,0.3,0.033,0.016,0.003
2021,9,강남구,7,14,0.3,0.03,0.015,0.003
2021,10,강남구,13,26,0.4,0.022,0.023,0.003
2021,11,강남구,24,42,0.5,0.018,0.031,0.004
2021,12,강남구,20,36,0.5,0.014,0.029,0.003
2016,1,금천구,30,48,0.7,0.014,0.038,0.006
2016,2,금천구,25,43,0.6,0.018,0.037,0.005
2016,3,금천구,33,61,0.6,0.025,0.04,0.005
2016,4,금천구,30,64,0.6,0.032,0.04,0.005
2016,5,금천구,29,50,0.5,0.044,0.033,0.005
2016,6,금천구,30,45,0.5,0.04,0.031,0.004
2016,7,금천구,22,33,0.4,0.03,0.025,0.004
2016,8,금천구,22,34,0.4,0.033,0.028,0.004
2016,9,금천구,23,34,0.5,0.029,0.03,0.004
2016,10,금천구,19,32,0.5,0.018,0.033,0.003
2016,11,금천구,28,47,0.6,0.015,0.039,0.004
2016,12,금천구,28,43,0.7,0.009,0.041,0.004
2017,1,금천구,33,48,0.7,0.014,0.041,0.005
2017,2,금천구,30,42,0.6,0.018,0.005,0.005
2017,3,금천구,42,56,0.6,0.025,0.005,0.005
2017,4,금천구,28,49,0.5,0.037,0.034,0.005
2017,5,금천구,24,63,0.4,0.041,0.031,0.005
2017,6,금천구,23,42,0.4,0.041,0.027,0.004
2017,7,금천구,23,32,0.4,0.032,0.018,0.003
2017,8,금천구,13,20,0.4,0.026,0.021,0.003
2017,9,금천구,20,28,0.5,0.028,0.03,0.004
2017,10,금천구,16,26,0.4,0.021,0.029,0.003
2017,11,금천구,24,40,0.5,0.014,0.035,0.004
2017,12,금천구,33,47,0.6,0.011,0.035,0.004
2018,1,금천구,33,50,0.7,0.013,0.039,0.005
2018,2,금천구,30,50,0.6,0.018,0.037,0.005
2018,3,금천구,33,52,0.5,0.026,0.034,0.005
2018,4,금천구,23,48,0.4,0.031,0.032,0.004
2018,5,금천구,20,42,0.4,0.035,0.027,0.003
2018,6,금천구,23,38,0.4,0.034,0.027,0.004
2018,7,금천구,16,27,0.3,0.025,0.02,0.004
2018,8,금천구,14,24,0.3,0.029,0.019,0.003
2018,9,금천구,11,22,0.4,0.028,0.02,0.003
2018,10,금천구,16,27,0.5,0.018,0.031,0.003
2018,11,금천구,31,49,0.6,0.011,0.045,0.004
2018,12,금천구,27,41,0.6,0.012,0.04,0.005
2019,1,금천구,40,64,0.7,0.012,0.044,0.005
2019,2,금천구,37,57,0.7,0.017,0.04,0.004
2019,3,금천구,42,66,0.6,0.027,0.037,0.004
2019,4,금천구,19,38,0.4,0.027,0.033,0.003
2019,5,금천구,26,45,0.5,0.039,0.029,0.004
2019,6,금천구,18,25,0.4,0.032,0.023,0.003
2019,7,금천구,18,25,0.4,0.026,0.019,0.003
2019,8,금천구,16,24,0.4,0.027,0.019,0.003
2019,9,금천구,12,19,0.4,0.02,0.024,0.003
2019,10,금천구,16,28,0.4,0.021,0.027,0.003
2019,11,금천구,21,35,0.6,0.011,0.037,0.003
2019,12,금천구,31,36,0.6,0.01,0.037,0.004
2020,1,금천구,33,42,0.7,0.011,0.038,0.004
2020,2,금천구,29,41,0.6,0.016,0.034,0.003
2020,3,금천구,26,43,0.5,0.023,0.029,0.003
2020,4,금천구,21,39,0.4,0.031,0.021,0.003
2020,5,금천구,18,31,0.4,0.028,0.02,0.003
2020,6,금천구,21,33,0.4,0.038,0.02,0.003
2020,7,금천구,15,22,0.4,0.027,0.016,0.002
2020,8,금천구,16,25,0.3,0.018,0.014,0.003
2020,9,금천구,13,21,0.4,0.025,0.017,0.002
2020,10,금천구,20,34,0.5,0.019,0.026,0.003
2020,11,금천구,27,43,0.6,0.015,0.032,0.004
2020,12,금천구,28,44,0.6,0.015,0.035,0.004
2021,1,금천구,23,41,0.6,0.015,0.033,0.003
2021,2,금천구,34,53,0.6,0.024,0.032,0.003
2021,3,금천구,35,69,0.5,0.026,0.034,0.003
2021,4,금천구,20,41,0.4,0.039,0.024,0.003
2021,5,금천구,21,57,0.4,0.037,0.019,0.003
2021,6,금천구,23,33,0.4,0.04,0.019,0.003
2021,7,금천구,19,26,0.3,0.035,0.017,0.003
2021,8,금천구,15,22,0.3,0.032,0.016,0.003
2021,9,금천구,10,16,0.3,0.031,0.014,0.002
2021,10,금천구,14,26,0.4,0.021,0.026,0.003
2021,11,금천구,26,44,0.5,0.016,0.036,0.004
2021,12,금천구,24,39,0.6,0.013,0.039,0.004
2016,1,강동구,27,56,0.7,0.008,0.037,0.005
2016,2,강동구,24,52,0.6,0.013,0.035,0.005
2016,3,강동구,32,68,0.6,0.018,0.039,0.005
2016,4,강동구,29,77,0.5,0.025,0.035,0.004
2016,5,강동구,30,62,0.5,0.029,0.032,0.004
2016,6,강동구,29,47,0.4,0.029,0.032,0.004
2016,7,강동구,22,34,0.4,0.02,0.029,0.004
2016,8,강동구,23,37,0.4,0.025,0.032,0.004
2016,9,강동구,24,40,0.4,0.025,0.025,0.004
2016,10,강동구,22,43,0.5,0.018,0.029,0.004
2016,11,강동구,31,62,0.6,0.012,0.037,0.005
2016,12,강동구,32,55,0.6,0.008,0.036,0.004
2017,1,강동구,34,61,0.7,0.012,0.037,0.004
2017,2,강동구,30,54,0.6,0.016,0.004,0.004
2017,3,강동구,43,67,0.6,0.023,0.005,0.005
2017,4,강동구,28,63,0.5,0.035,0.031,0.004
2017,5,강동구,20,71,0.5,0.036,0.03,0.004
2017,6,강동구,19,44,0.4,0.041,0.023,0.003
2017,7,강동구,19,31,0.4,0.028,0.022,0.003
2017,8,강동구,11,21,0.4,0.024,0.02,0.003
2017,9,강동구,16,35,0.5,0.025,0.026,0.003
2017,10,강동구,13,32,0.5,0.018,0.028,0.004
2017,11,강동구,21,47,0.6,0.013,0.036,0.005
2017,12,강동구,34,55,0.7,0.01,0.039,0.005
2018,1,강동구,36,56,0.7,0.013,0.039,0.005
2018,2,강동구,33,59,0.7,0.017,0.037,0.005
2018,3,강동구,36,57,0.6,0.024,0.032,0.004
2018,4,강동구,31,65,0.5,0.029,0.033,0.004
2018,5,강동구,20,45,0.4,0.031,0.026,0.004
2018,6,강동구,21,39,0.4,0.031,0.024,0.004
2018,7,강동구,16,30,0.3,0.019,0.019,0.004
2018,8,강동구,13,25,0.3,0.026,0.021,0.003
2018,9,강동구,9,23,0.4,0.024,0.02,0.004
2018,10,강동구,14,33,0.5,0.016,0.03,0.006
2018,11,강동구,26,57,0.6,0.01,0.041,0.006
2018,12,강동구,26,44,0.6,0.01,0.038,0.006
2019,1,강동구,42,65,0.7,0.009,0.044,0.005
2019,2,강동구,39,58,0.6,0.015,0.04,0.004
2019,3,강동구,44,67,0.6,0.026,0.037,0.004
2019,4,강동구,19,37,0.4,0.026,0.031,0.004
2019,5,강동구,27,47,0.5,0.035,0.03,0.005
2019,6,강동구,18,26,0.4,0.032,0.021,0.003
2019,7,강동구,19,26,0.4,0.026,0.017,0.003
2019,8,강동구,18,22,0.4,0.026,0.019,0.003
2019,9,강동구,13,19,0.4,0.024,0.019,0.003
2019,10,강동구,17,34,0.4,0.019,0.024,0.003
2019,11,강동구,25,54,0.6,0.011,0.036,0.003
2019,12,강동구,36,48,0.6,0.009,0.036,0.003
2020,1,강동구,33,47,0.6,0.012,0.036,0.004
2020,2,강동구,32,46,0.6,0.017,0.035,0.003
2020,3,강동구,26,45,0.5,0.025,0.025,0.003
2020,4,강동구,22,44,0.4,0.035,0.019,0.002
2020,5,강동구,19,33,0.4,0.033,0.019,0.003
2020,6,강동구,22,36,0.4,0.04,0.02,0.003
2020,7,강동구,14,20,0.4,0.025,0.016,0.003
2020,8,강동구,16,24,0.3,0.014,0.02,0.003
2020,9,강동구,12,20,0.4,0.024,0.015,0.002
2020,10,강동구,19,36,0.5,0.019,0.025,0.003
2020,11,강동구,27,45,0.5,0.014,0.032,0.003
2020,12,강동구,32,47,0.6,0.014,0.033,0.003
2021,1,강동구,25,42,0.5,0.015,0.031,0.003
2021,2,강동구,31,52,0.6,0.022,0.03,0.003
2021,3,강동구,34,69,0.5,0.023,0.03,0.003
2021,4,강동구,20,42,0.3,0.035,0.022,0.002
2021,5,강동구,20,64,0.3,0.033,0.019,0.002
2021,6,강동구,20,32,0.4,0.038,0.016,0.002
2021,7,강동구,16,22,0.3,0.03,0.013,0.002
2021,8,강동구,13,21,0.3,0.03,0.012,0.002
2021,9,강동구,7,15,0.3,0.027,0.012,0.002
2021,10,강동구,13,27,0.4,0.018,0.022,0.002
2021,11,강동구,26,46,0.5,0.014,0.031,0.003
2021,12,강동구,24,42,0.5,0.011,0.03,0.003
2016,1,강북구,28,47,0.7,0.015,0.034,0.005
2016,2,강북구,26,41,0.7,0.019,0.033,0.005
2016,3,강북구,33,58,0.6,0.026,0.037,0.005
2016,4,강북구,29,62,0.5,0.035,0.034,0.004
2016,5,강북구,27,48,0.5,0.046,0.028,0.003
2016,6,강북구,27,41,0.4,0.044,0.026,0.003
2016,7,강북구,23,32,0.4,0.03,0.024,0.003
2016,8,강북구,20,27,0.4,0.035,0.022,0.003
2016,9,강북구,21,29,0.4,0.029,0.027,0.003
2016,10,강북구,19,31,0.5,0.02,0.03,0.003
2016,11,강북구,28,47,0.6,0.014,0.037,0.004
2016,12,강북구,30,41,0.7,0.012,0.032,0.004
2017,1,강북구,31,45,0.6,0.019,0.029,0.005
2017,2,강북구,25,37,0.6,0.025,0.004,0.004
2017,3,강북구,33,50,0.6,0.034,0.004,0.004
2017,4,강북구,23,45,0.5,0.042,0.026,0.004
2017,5,강북구,22,52,0.4,0.048,0.022,0.004
2017,6,강북구,20,31,0.4,0.051,0.017,0.003
2017,7,강북구,21,30,0.3,0.034,0.019,0.003
2017,8,강북구,10,17,0.3,0.03,0.015,0.003
2017,9,강북구,16,25,0.4,0.033,0.019,0.003
2017,10,강북구,13,22,0.4,0.025,0.02,0.003
2017,11,강북구,20,40,0.5,0.021,0.03,0.004
2017,12,강북구,28,49,0.7,0.016,0.033,0.004
2018,1,강북구,26,47,0.6,0.02,0.031,0.005
2018,2,강북구,26,50,0.6,0.026,0.028,0.005
2018,3,강북구,29,50,0.5,0.031,0.029,0.004
2018,4,강북구,21,48,0.4,0.038,0.021,0.003
2018,5,강북구,16,37,0.4,0.041,0.017,0.003
2018,6,강북구,18,32,0.4,0.042,0.016,0.003
2018,7,강북구,16,25,0.3,0.028,0.012,0.003
2018,8,강북구,13,21,0.3,0.034,0.011,0.002
2018,9,강북구,8,16,0.3,0.031,0.013,0.002
2018,10,강북구,12,19,0.4,0.025,0.018,0.002
2018,11,강북구,23,39,0.6,0.018,0.029,0.003
2018,12,강북구,24,43,0.6,0.017,0.028,0.003
2019,1,강북구,39,71,0.7,0.018,0.031,0.004
2019,2,강북구,35,62,0.6,0.024,0.025,0.003
2019,3,강북구,42,73,0.6,0.034,0.024,0.003
2019,4,강북구,16,39,0.4,0.036,0.018,0.002
2019,5,강북구,25,52,0.5,0.045,0.019,0.003
2019,6,강북구,17,30,0.4,0.039,0.013,0.002
2019,7,강북구,19,31,0.4,0.031,0.013,0.002
2019,8,강북구,17,32,0.3,0.028,0.012,0.002
2019,9,강북구,13,26,0.4,0.027,0.013,0.002
2019,10,강북구,18,36,0.4,0.025,0.015,0.002
2019,11,강북구,21,41,0.5,0.016,0.024,0.003
2019,12,강북구,31,46,0.6,0.014,0.039,0.003
2020,1,강북구,30,44,0.6,0.016,0.035,0.003
2020,2,강북구,29,46,0.5,0.019,0.034,0.003
2020,3,강북구,25,46,0.5,0.029,0.025,0.003
2020,4,강북구,21,48,0.4,0.033,0.024,0.002
2020,5,강북구,19,36,0.4,0.028,0.014,0.002
2020,6,강북구,22,39,0.4,0.037,0.015,0.002
2020,7,강북구,14,24,0.4,0.027,0.009,0.002
2020,8,강북구,17,28,0.3,0.017,0.011,0.002
2020,9,강북구,11,22,0.3,0.026,0.009,0.002
2020,10,강북구,17,35,0.5,0.025,0.016,0.003
2020,11,강북구,23,45,0.5,0.017,0.021,0.003
2020,12,강북구,27,46,0.6,0.016,0.024,0.004
2021,1,강북구,22,43,0.5,0.015,0.024,0.004
2021,2,강북구,29,51,0.5,0.022,0.022,0.003
2021,3,강북구,31,66,0.5,0.027,0.022,0.003
2021,4,강북구,17,41,0.3,0.038,0.014,0.002
2021,5,강북구,17,61,0.3,0.038,0.012,0.002
2021,6,강북구,19,30,0.3,0.042,0.011,0.002
2021,7,강북구,17,24,0.3,0.036,0.011,0.003
2021,8,강북구,12,23,0.3,0.032,0.01,0.002
2021,9,강북구,7,17,0.3,0.031,0.009,0.002
2021,10,강북구,12,28,0.3,0.025,0.014,0.002
2021,11,강북구,25,48,0.5,0.022,0.022,0.003
2021,12,강북구,22,42,0.5,0.017,0.023,0.003
2016,1,성북구,25,50,0.8,0.014,0.038,0.007
2016,2,성북구,22,44,0.7,0.018,0.037,0.007
2016,3,성북구,31,61,0.6,0.022,0.041,0.006
2016,4,성북구,28,73,0.6,0.025,0.04,0.006
2016,5,성북구,27,59,0.5,0.032,0.033,0.005
2016,6,성북구,27,44,0.5,0.03,0.032,0.005
2016,7,성북구,23,36,0.5,0.019,0.029,0.005
2016,8,성북구,22,38,0.5,0.025,0.025,0.004
2016,9,성북구,24,41,0.5,0.023,0.03,0.004
2016,10,성북구,21,40,0.5,0.017,0.033,0.004
2016,11,성북구,29,63,0.6,0.009,0.037,0.004
2016,12,성북구,26,48,0.9,0.008,0.04,0.005
2017,1,성북구,30,55,0.7,0.012,0.039,0.005
2017,2,성북구,28,49,0.8,0.018,0.005,0.005
2017,3,성북구,40,60,0.6,0.024,0.004,0.004
2017,4,성북구,27,59,0.6,0.03,0.037,0.004
2017,5,성북구,27,72,0.5,0.036,0.032,0.005
2017,6,성북구,24,44,0.5,0.038,0.027,0.004
2017,7,성북구,25,37,0.5,0.026,0.028,0.003
2017,8,성북구,14,25,0.4,0.022,0.024,0.003
2017,9,성북구,21,39,0.5,0.025,0.029,0.003
2017,10,성북구,17,34,0.5,0.018,0.028,0.003
2017,11,성북구,22,46,0.7,0.013,0.035,0.004
2017,12,성북구,30,52,0.7,0.011,0.039,0.006
2018,1,성북구,32,50,0.6,0.014,0.036,0.006
2018,2,성북구,30,55,0.7,0.017,0.036,0.006
2018,3,성북구,31,52,0.7,0.023,0.035,0.005
2018,4,성북구,24,57,0.6,0.028,0.032,0.004
2018,5,성북구,25,48,0.6,0.033,0.025,0.002
2018,6,성북구,25,38,0.7,0.031,0.023,0.003
2018,7,성북구,16,27,0.5,0.019,0.018,0.003
2018,8,성북구,14,25,0.4,0.025,0.017,0.002
2018,9,성북구,10,23,0.4,0.02,0.02,0.002
2018,10,성북구,14,28,0.6,0.015,0.031,0.003
2018,11,성북구,24,50,0.9,0.011,0.043,0.003
2018,12,성북구,20,43,0.7,0.012,0.038,0.004
2019,1,성북구,32,64,1.0,0.012,0.045,0.005
2019,2,성북구,30,55,0.9,0.017,0.039,0.004
2019,3,성북구,36,65,0.9,0.026,0.037,0.004
2019,4,성북구,18,42,0.7,0.027,0.034,0.003
2019,5,성북구,29,58,0.7,0.039,0.034,0.004
2019,6,성북구,19,30,0.6,0.035,0.024,0.003
2019,7,성북구,15,23,0.6,0.027,0.022,0.003
2019,8,성북구,15,26,0.6,0.028,0.021,0.003
2019,9,성북구,10,29,0.6,0.021,0.022,0.003
2019,10,성북구,14,40,0.5,0.019,0.027,0.002
