요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수
201002,서울특별시,강남구,5,893
201002,서울특별시,강동구,0,1306
201002,서울특별시,강동구,1,1464
201002,서울특별시,강동구,2,955
201002,서울특별시,강동구,3,4721
201002,서울특별시,강동구,4,3377
201002,서울특별시,강동구,5,1324
201002,서울특별시,강북구,0,2110
201002,서울특별시,강북구,1,2241
201002,서울특별시,강북구,2,1249
201002,서울특별시,강북구,3,6712
201002,서울특별시,강북구,4,4219
201002,서울특별시,강북구,5,1441
201002,서울특별시,강서구,0,1194
201002,서울특별시,강서구,1,1533
201002,서울특별시,강서구,2,1478
201002,서울특별시,강서구,3,6401
201002,서울특별시,강서구,4,3777
201002,서울특별시,강서구,5,1216
201002,서울특별시,관악구,0,512
201002,서울특별시,관악구,1,663
201002,서울특별시,관악구,2,395
201002,서울특별시,관악구,3,2447
201002,서울특별시,관악구,4,1467
201002,서울특별시,관악구,5,826
201002,서울특별시,광진구,0,1239
201002,서울특별시,광진구,1,1492
201002,서울특별시,광진구,2,963
201002,서울특별시,광진구,3,4930
201002,서울특별시,광진구,4,3313
201002,서울특별시,광진구,5,1508
201002,서울특별시,구로구,0,2111
201002,서울특별시,구로구,1,2538
201002,서울특별시,구로구,2,1641
201002,서울특별시,구로구,3,7886
201002,서울특별시,구로구,4,4820
201002,서울특별시,구로구,5,1544
201002,서울특별시,금천구,0,1177
201002,서울특별시,금천구,1,1404
201002,서울특별시,금천구,2,1091
201002,서울특별시,금천구,3,5198
201002,서울특별시,금천구,4,3565
201002,서울특별시,금천구,5,1138
201002,서울특별시,노원구,0,488
201002,서울특별시,노원구,1,561
201002,서울특별시,노원구,2,408
201002,서울특별시,노원구,3,2308
201002,서울특별시,노원구,4,1523
201002,서울특별시,노원구,5,585
201002,서울특별시,도봉구,0,1647
201002,서울특별시,도봉구,1,1427
201002,서울특별시,도봉구,2,764
201002,서울특별시,도봉구,3,4823
201002,서울특별시,도봉구,4,3032
201002,서울특별시,도봉구,5,1265
201002,서울특별시,동대문구,0,1069
201002,서울특별시,동대문구,1,1291
201002,서울특별시,동대문구,2,705
201002,서울특별시,동대문구,3,3684
201002,서울특별시,동대문구,4,2258
201002,서울특별시,동대문구,5,1261
201002,서울특별시,동작구,0,102
201002,서울특별시,동작구,1,105
201002,서울특별시,동작구,2,87
201002,서울특별시,동작구,3,601
201002,서울특별시,동작구,4,386
201002,서울특별시,동작구,5,182
201002,서울특별시,마포구,0,1386
201002,서울특별시,마포구,1,1398
201002,서울특별시,마포구,2,902
201002,서울특별시,마포구,3,6420
201002,서울특별시,마포구,4,3678
201002,서울특별시,마포구,5,1669
201002,서울특별시,서대문구,0,1071
201002,서울특별시,서대문구,1,1207
201002,서울특별시,서대문구,2,752
201002,서울특별시,서대문구,3,4890
201002,서울특별시,서대문구,4,2723
201002,서울특별시,서대문구,5,1353
201002,서울특별시,서초구,0,670
201002,서울특별시,서초구,1,818
201002,서울특별시,서초구,2,540
201002,서울특별시,서초구,3,3299
201002,서울특별시,서초구,4,2018
201002,서울특별시,서초구,5,912
201002,서울특별시,성동구,0,1550
201002,서울특별시,성동구,1,2357
201002,서울특별시,성동구,2,1656
201002,서울특별시,성동구,3,6159
201002,서울특별시,성동구,4,3919
201002,서울특별시,성동구,5,1591
201002,서울특별시,성북구,0,1307
201002,서울특별시,성북구,1,1834
201002,서울특별시,성북구,2,1363
201002,서울특별시,성북구,3,5290
201002,서울특별시,성북구,4,3509
201002,서울특별시,성북구,5,1147
201002,서울특별시,송파구,0,822
201002,서울특별시,송파구,1,954
201002,서울특별시,송파구,2,646
201002,서울특별시,송파구,3,3666
201002,서울특별시,송파구,4,2327
201002,서울특별시,송파구,5,1103
201002,서울특별시,양천구,0,1064
201002,서울특별시,양천구,1,1246
201002,서울특별시,양천구,2,899
201002,서울특별시,양천구,3,4284
201002,서울특별시,양천구,4,2656
201002,서울특별시,양천구,5,1051
201002,서울특별시,영등포구,0,323
201002,서울특별시,영등포구,1,436
201002,서울특별시,영등포구,2,320
201002,서울특별시,영등포구,3,1457
201002,서울특별시,영등포구,4,1084
201002,서울특별시,영등포구,5,629
201002,서울특별시,용산구,0,850
201002,서울특별시,용산구,1,1304
201002,서울특별시,용산구,2,872
201002,서울특별시,용산구,3,3599
201002,서울특별시,용산구,4,2418
201002,서울특별시,용산구,5,1088
201002,서울특별시,은평구,0,1232
201002,서울특별시,은평구,1,1242
201002,서울특별시,은평구,2,750
201002,서울특별시,은평구,3,4789
201002,서울특별시,은평구,4,2711
201002,서울특별시,은평구,5,1294
201002,서울특별시,종로구,0,1701
201002,서울특별시,종로구,1,1885
201002,서울특별시,종로구,2,1002
201002,서울특별시,종로구,3,5591
201002,서울특별시,종로구,4,3363
201002,서울특별시,종로구,5,1637
201002,서울특별시,중구,0,707
201002,서울특별시,중구,1,730
201002,서울특별시,중구,2,394
201002,서울특별시,중구,3,2219
201002,서울특별시,중구,4,1467
201002,서울특별시,중구,5,697
201002,서울특별시,중랑구,0,976
201002,서울특별시,중랑구,1,1036
201002,서울특별시,중랑구,2,629
201002,서울특별시,중랑구,3,4185
