요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,마포구,1,170,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,2,85,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,3,275,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,4,75,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,5,44,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,서대문구,0,347,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,1,182,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,2,134,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,3,357,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,4,159,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,5,89,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서초구,0,376,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,1,170,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,2,117,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,3,397,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,4,173,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,5,99,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,성동구,0,331,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,1,126,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,2,69,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,3,205,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,4,73,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,5,51,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성북구,0,519,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,1,217,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,2,124,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,3,332,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,4,141,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,5,78,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,송파구,0,744,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,1,353,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,2,218,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,3,685,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,4,239,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,5,99,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,양천구,0,363,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,1,264,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,2,183,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,3,391,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,4,160,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,5,80,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,영등포구,0,453,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,1,168,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,2,92,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,3,308,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,4,134,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,5,72,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,용산구,0,180,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,1,70,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,2,51,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,3,148,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,4,47,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,용산구,5,45,23,61,0.8,0.012,0.05,0.01
201001,서울특별시,은평구,0,581,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,1,273,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,2,150,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,3,414,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,4,196,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,은평구,5,100,28,52,0.9,0.014,0.039,0.007
201001,서울특별시,종로구,0,121,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,1,58,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,2,39,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,3,124,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,4,55,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,종로구,5,25,24,59,0.9,0.013,0.046,0.009
201001,서울특별시,중구,0,56,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,1,17,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,2,14,21,58,1.0,0.011,0.043,0.007
201001,서울특별시,중구,3,43,21,58,1.0,0.011,0.043,0.007
