요양개시년월,주소(시도),주소(시군구),연령군,진료에피소드 건수,초미세먼지,미세먼지,일산화탄소,오존,이산화질소,아황산가스
201001,서울특별시,마포구,0,937,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,1,857,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,2,569,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,3,5439,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,4,2862,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,마포구,5,1389,26,63,0.8,0.007,0.045,0.006
201001,서울특별시,서대문구,0,814,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,1,968,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,2,664,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,3,4527,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,4,2925,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서대문구,5,1463,24,62,0.7,0.018,0.042,0.008
201001,서울특별시,서초구,0,999,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,1,1026,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,2,827,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,3,5610,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,4,3377,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,서초구,5,1239,28,61,0.7,0.008,0.044,0.006
201001,서울특별시,성동구,0,627,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,1,685,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,2,416,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,3,4120,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,4,2507,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성동구,5,1047,26,60,0.8,0.01,0.041,0.006
201001,서울특별시,성북구,0,1494,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,1,1355,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,2,859,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,3,6950,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,4,4331,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,성북구,5,1913,23,56,0.9,0.009,0.048,0.006
201001,서울특별시,송파구,0,1853,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,1,1789,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,2,1461,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,3,9900,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,4,5893,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,송파구,5,1825,27,59,0.9,0.011,0.04,0.007
201001,서울특별시,양천구,0,1091,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,1,1416,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,2,1267,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,3,6671,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,4,4402,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,양천구,5,1413,23,64,1.0,0.013,0.049,0.009
201001,서울특별시,영등포구,0,1108,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,1,993,25,59,0.8,0.008,0.05,0.009
201001,서울특별시,영등포구,2,614,25,59,0.8,0.008,0.05,0.009
