요양개시년월,연령군,합계 : 진료에피소드 건수
201410,4,10933
201410,5,8611
201411,0,16811
201411,1,8521
201411,2,2619
201411,3,13257
201411,4,12057
201411,5,9579
201412,0,14955
201412,1,7304
201412,2,2356
201412,3,11910
201412,4,12136
201412,5,9632
201501,0,10016
201501,1,5811
201501,2,1620
201501,3,11415
201501,4,12854
201501,5,10864
201502,0,9834
201502,1,7622
201502,2,1990
201502,3,10456
201502,4,12025
201502,5,10641
201503,0,12346
201503,1,6834
201503,2,2875
201503,3,12298
201503,4,13832
201503,5,11152
201504,0,13634
201504,1,7227
201504,2,3083
201504,3,13007
201504,4,12976
201504,5,9344
201505,0,12643
201505,1,4852
201505,2,2060
201505,3,11214
201505,4,10832
201505,5,7787
201506,0,6731
201506,1,2928
201506,2,1331
201506,3,7602
201506,4,7264
201506,5,5979
201507,0,8318
201507,1,4920
201507,2,1053
201507,3,5787
201507,4,5871
201507,5,5231
201508,0,12593
201508,1,6737
201508,2,1355
201508,3,7329
201508,4,6499
201508,5,5543
201509,0,12196
201509,1,10310
201509,2,3075
201509,3,11426
201509,4,9412
201509,5,6611
201510,0,11744
201510,1,8917
201510,2,2256
201510,3,12036
201510,4,9944
201510,5,7996
201511,0,12927
201511,1,8843
201511,2,2530
201511,3,11933
201511,4,10403
201511,5,8443
201512,0,18820
201512,1,10060
201512,2,2487
201512,3,12239
201512,4,12111
201512,5,9480
201601,0,10628
201601,1,6912
201601,2,1730
201601,3,11038
201601,4,11476
201601,5,8896
201602,0,11583
201602,1,8230
201602,2,2147
201602,3,12302
201602,4,13766
201602,5,10397
201603,0,14854
201603,1,7897
201603,2,2907
201603,3,12000
201603,4,12373
201603,5,9947
201604,0,13030
201604,1,6933
201604,2,3055
201604,3,14016
201604,4,12696
201604,5,9337
201605,0,11694
201605,1,5055
201605,2,2063
201605,3,11686
201605,4,11034
201605,5,8285
201606,0,7806
201606,1,3657
201606,2,1585
201606,3,8300
201606,4,8091
201606,5,6485
201607,0,6806
201607,1,5020
201607,2,1333
201607,3,6812
201607,4,6874
201607,5,5914
201608,0,9152
201608,1,5623
201608,2,1228
201608,3,8131
201608,4,8146
201608,5,6158
201609,0,11493
201609,1,8240
201609,2,2015
201609,3,10669
201609,4,9133
201609,5,7177
201610,0,12502
201610,1,8793
201610,2,1872
201610,3,11448
201610,4,9488
201610,5,8055
201611,0,15723
201611,1,8910
201611,2,2301
201611,3,11742
201611,4,10574
201611,5,8850
201612,0,14347
201612,1,10686
201612,2,4041
201612,3,14884
201612,4,14706
201612,5,11653
201701,0,8153
201701,1,4501
201701,2,1185
201701,3,9820
201701,4,11048
201701,5,9263
201702,0,9670
201702,1,5323
201702,2,1167
201702,3,8521
201702,4,9025
201702,5,8188
201703,0,12653
201703,1,6054
201703,2,2222
201703,3,11214
201703,4,11191
201703,5,9766
201704,0,11894
201704,1,5715
201704,2,2633
201704,3,12422
201704,4,11669
201704,5,8987
201705,0,10215
201705,1,4056
201705,2,1624
201705,3,10938
201705,4,10543
201705,5,8093
201706,0,8736
201706,1,3521
201706,2,1128
201706,3,7295
201706,4,7644
201706,5,6510
201707,0,6607
201707,1,4898
201707,2,1171
201707,3,6106
201707,4,6410
201707,5,5819
201708,0,6351
201708,1,4526
201708,2,1269
201708,3,7141
201708,4,6643
201708,5,6217
201709,0,8934
201709,1,6835
201709,2,2093
201709,3,10386
201709,4,9187
201709,5,7423
201710,0,9544
201710,1,5915
201710,2,1274
201710,3,8886
201710,4,7937
201710,5,7074
201711,0,12818
201711,1,7570
201711,2,1888
201711,3,10440
201711,4,9691
201711,5,8499
201712,0,10790
201712,1,7773
201712,2,2405
201712,3,11054
201712,4,12799
201712,5,10764
201801,0,6822
201801,1,4342
201801,2,1243
201801,3,11816
201801,4,15013
201801,5,13686
201802,0,7213
201802,1,4133
201802,2,805
201802,3,7207
201802,4,8459
201802,5,8054
201803,0,11014
201803,1,6060
201803,2,1693
201803,3,9075
201803,4,9189
201803,5,8529
201804,0,12174
201804,1,6239
201804,2,2333
201804,3,11658
201804,4,10437
201804,5,8943
201805,0,10696
201805,1,4255
201805,2,1496
201805,3,10197
201805,4,9994
201805,5,8863
201806,0,7659
201806,1,3022
201806,2,1035
201806,3,7221
201806,4,7690
201806,5,7105
201807,0,5419
201807,1,4070
201807,2,1023
201807,3,5802
201807,4,6171
201807,5,6097
201808,0,5493
201808,1,4186
201808,2,938
201808,3,6140
201808,4,6197
201808,5,6146
201809,0,9461
201809,1,7665
201809,2,2170
201809,3,9737
201809,4,7888
201809,5,7307
201810,0,10307
201810,1,7207
201810,2,1710
201810,3,11338
201810,4,9935
201810,5,9822
201811,0,12466
201811,1,8024
201811,2,2179
201811,3,11296
201811,4,10791
201811,5,10168
201812,0,10615
201812,1,7585
201812,2,2549
201812,3,12558
201812,4,12931
201812,5,10977
201901,0,6232
201901,1,4155
201901,2,1094
201901,3,9357
201901,4,10656
201901,5,10357
201902,0,6170
201902,1,4400
201902,2,900
201902,3,6981
201902,4,7716
201902,5,7611
201903,0,9477
201903,1,6461
201903,2,1982
201903,3,9479
201903,4,9098
201903,5,8942
201904,0,10438
201904,1,6430
201904,2,2680
201904,3,11652
201904,4,11047
201904,5,10037
201905,0,9849
201905,1,5090
201905,2,2259
201905,3,11807
201905,4,11138
201905,5,9294
201906,0,7670
201906,1,3294
201906,2,1141
201906,3,6857
201906,4,7494
201906,5,7186
201907,0,6391
201907,1,4660
201907,2,1070
201907,3,6289
201907,4,6434
201907,5,7302
201908,0,6132
201908,1,4505
201908,2,1088
201908,3,6457
201908,4,6291
201908,5,6857
201909,0,8316
201909,1,7273
201909,2,2007
201909,3,8784
201909,4,7893
201909,5,7911
201910,0,9510
201910,1,8021
201910,2,1939
201910,3,9891
201910,4,8988
201910,5,9278
201911,0,9417
201911,1,7610
201911,2,1882
201911,3,9837
201911,4,9037
201911,5,9208
201912,0,8908
201912,1,7413
201912,2,2151
201912,3,9982
201912,4,10700
201912,5,10299
202001,0,5949
202001,1,4241
202001,2,1351
202001,3,9816
202001,4,10918
202001,5,11300
202002,0,3660
202002,1,2832
202002,2,761
202002,3,6744
202002,4,7231
202002,5,7040
202003,0,1598
202003,1,1526
202003,2,522
202003,3,5233
202003,4,5895
202003,5,5902
202004,0,1360
202004,1,1361
202004,2,447
202004,3,4458
202004,4,4946
202004,5,5684
202005,0,3212
202005,1,2026
202005,2,667
202005,3,4968
202005,4,5029
202005,5,5387
202006,0,2689
202006,1,1343
202006,2,476
202006,3,3843
202006,4,4079
202006,5,4737
202007,0,2040
202007,1,1650
202007,2,387
202007,3,3529
202007,4,3768
202007,5,4659
202008,0,1678
202008,1,1439
202008,2,409
202008,3,3356
202008,4,3581
202008,5,4208
202009,0,1107
202009,1,1690
202009,2,866
202009,3,5342
202009,4,5386
202009,5,5452
202010,0,2234
202010,1,1739
202010,2,699
202010,3,4852
202010,4,4750
202010,5,5416
202011,0,3682
202011,1,2690
202011,2,576
202011,3,4454
202011,4,4391
202011,5,5092
202012,0,1340
202012,1,930
202012,2,370
202012,3,4065
202012,4,4402
202012,5,5146
202101,0,891
202101,1,685
202101,2,279
202101,3,3284
202101,4,3965
202101,5,4683
202102,0,1171
202102,1,757
202102,2,305
202102,3,3030
202102,4,3616
202102,5,4362
202103,0,4183
202103,1,2246
202103,2,451
202103,3,4177
202103,4,4506
202103,5,5549
202104,0,4380
202104,1,3306
202104,2,1079
202104,3,5610
202104,4,5235
202104,5,5293
202105,0,4036
202105,1,1874
202105,2,568
202105,3,3933
202105,4,4229
202105,5,4767
202106,0,2657
202106,1,1278
202106,2,416
202106,3,3715
202106,4,3906
202106,5,4449
202107,0,1215
202107,1,1071
202107,2,392
202107,3,3323
202107,4,3529
202107,5,3979
202108,0,649
202108,1,829
202108,2,407
202108,3,3613
202108,4,3927
202108,5,4438
202109,0,2113
202109,1,1619
202109,2,750
202109,3,5007
202109,4,4776
202109,5,4690
202110,0,4000
202110,1,2489
202110,2,643
202110,3,4764
202110,4,4286
202110,5,5162
202111,0,5609
202111,1,4138
202111,2,1297
202111,3,5410
202111,4,4835
202111,5,5612
202112,0,3519
202112,1,1511
202112,2,660
202112,3,4716
202112,4,5223
202112,5,5787
