요양개시년월,연령군,합계 : 진료에피소드 건수
201507,0,7484
201507,1,4495
201507,2,2696
201507,3,9733
201507,4,4644
201507,5,2848
201508,0,7158
201508,1,5060
201508,2,2924
201508,3,10098
201508,4,4642
201508,5,2744
201509,0,6765
201509,1,3786
201509,2,2279
201509,3,9080
201509,4,4279
201509,5,2557
201510,0,6048
201510,1,3293
201510,2,2026
201510,3,8320
201510,4,4250
201510,5,2761
201511,0,5824
201511,1,3113
201511,2,1818
201511,3,7526
201511,4,3810
201511,5,2322
201512,0,6471
201512,1,3495
201512,2,2060
201512,3,8536
201512,4,4103
201512,5,2542
201601,0,6693
201601,1,3490
201601,2,2268
201601,3,7932
201601,4,3869
201601,5,2416
201602,0,6175
201602,1,3128
201602,2,2144
201602,3,7868
201602,4,3839
201602,5,2272
201603,0,7539
201603,1,3622
201603,2,2185
201603,3,8775
201603,4,4356
201603,5,2600
201604,0,6822
201604,1,3776
201604,2,2169
201604,3,8768
201604,4,4689
201604,5,2729
201605,0,7995
201605,1,3950
201605,2,2446
201605,3,9471
201605,4,5018
201605,5,2926
201606,0,7878
201606,1,3857
201606,2,2185
201606,3,9052
201606,4,4785
201606,5,2820
201607,0,6650
201607,1,4750
201607,2,2633
201607,3,9945
201607,4,4741
201607,5,2951
201608,0,6575
201608,1,5192
201608,2,3135
201608,3,11040
201608,4,5024
201608,5,3095
201609,0,6231
201609,1,3629
201609,2,1990
201609,3,8577
201609,4,4602
201609,5,2693
201610,0,5909
201610,1,3317
201610,2,2024
201610,3,8161
201610,4,4140
201610,5,2928
201611,0,5862
201611,1,3375
201611,2,1923
201611,3,8310
201611,4,4190
201611,5,2629
201612,0,5313
201612,1,3118
201612,2,1840
201612,3,8253
201612,4,4044
201612,5,2572
201701,0,6079
201701,1,3247
201701,2,2112
201701,3,7940
201701,4,3874
201701,5,2500
201702,0,6342
201702,1,3350
201702,2,2070
201702,3,8093
201702,4,3948
201702,5,2606
201703,0,7349
201703,1,3687
201703,2,1938
201703,3,8850
201703,4,4540
201703,5,2812
201704,0,6666
201704,1,3751
201704,2,2001
201704,3,8608
201704,4,4602
201704,5,2618
201705,0,7830
201705,1,4482
201705,2,2511
201705,3,9975
201705,4,5454
201705,5,3183
201706,0,7391
201706,1,3688
201706,2,2021
201706,3,9544
201706,4,5002
201706,5,3118
201707,0,6025
201707,1,5086
201707,2,2804
201707,3,10410
201707,4,5038
201707,5,3301
201708,0,5921
201708,1,4966
201708,2,2731
201708,3,10845
201708,4,5213
201708,5,3268
201709,0,5996
201709,1,4184
201709,2,2211
201709,3,9855
201709,4,5136
201709,5,3413
