측정년도,측정월,연령군,진료에피소드,미세먼지경보주의보
2019,03,3,9479,11
2019,03,4,9098,11
2019,03,5,8942,11
2019,04,0,10438,2
2019,04,1,6430,2
2019,04,2,2680,2
2019,04,3,11652,2
2019,04,4,11047,2
2019,04,5,10037,2
2019,05,0,9849,1
2019,05,1,5090,1
2019,05,2,2259,1
2019,05,3,11807,1
2019,05,4,11138,1
2019,05,5,9294,1
2019,06,0,7670,0
2019,06,1,3294,0
2019,06,2,1141,0
2019,06,3,6857,0
2019,06,4,7494,0
2019,06,5,7186,0
2019,07,0,6391,0
2019,07,1,4660,0
2019,07,2,1070,0
2019,07,3,6289,0
2019,07,4,6434,0
2019,07,5,7302,0
2019,08,0,6132,0
2019,08,1,4505,0
2019,08,2,1088,0
2019,08,3,6457,0
2019,08,4,6291,0
2019,08,5,6857,0
2019,09,0,8316,0
2019,09,1,7273,0
2019,09,2,2007,0
2019,09,3,8784,0
2019,09,4,7893,0
2019,09,5,7911,0
2019,10,0,9510,1
2019,10,1,8021,1
2019,10,2,1939,1
2019,10,3,9891,1
2019,10,4,8988,1
2019,10,5,9278,1
2019,11,0,9417,2
2019,11,1,7610,2
2019,11,2,1882,2
2019,11,3,9837,2
2019,11,4,9037,2
2019,11,5,9208,2
2019,12,0,8908,2
2019,12,1,7413,2
2019,12,2,2151,2
2019,12,3,9982,2
2019,12,4,10700,2
2019,12,5,10299,2
2020,01,0,5949,0
2020,01,1,4241,0
2020,01,2,1351,0
2020,01,3,9816,0
2020,01,4,10918,0
2020,01,5,11300,0
2020,02,0,3660,4
2020,02,1,2832,4
2020,02,2,761,4
2020,02,3,6744,4
2020,02,4,7231,4
2020,02,5,7040,4
2020,03,0,1598,0
2020,03,1,1526,0
2020,03,2,522,0
2020,03,3,5233,0
2020,03,4,5895,0
2020,03,5,5902,0
2020,04,0,1360,1
2020,04,1,1361,1
2020,04,2,447,1
2020,04,3,4458,1
2020,04,4,4946,1
2020,04,5,5684,1
2020,05,0,3212,1
2020,05,1,2026,1
2020,05,2,667,1
2020,05,3,4968,1
2020,05,4,5029,1
2020,05,5,5387,1
2020,06,0,2689,0
2020,06,1,1343,0
2020,06,2,476,0
2020,06,3,3843,0
2020,06,4,4079,0
2020,06,5,4737,0
2020,07,0,2040,0
2020,07,1,1650,0
2020,07,2,387,0
2020,07,3,3529,0
2020,07,4,3768,0
2020,07,5,4659,0
2020,08,0,1678,0
2020,08,1,1439,0
2020,08,2,409,0
2020,08,3,3356,0
2020,08,4,3581,0
2020,08,5,4208,0
2020,09,0,1107,0
2020,09,1,1690,0
2020,09,2,866,0
2020,09,3,5342,0
2020,09,4,5386,0
2020,09,5,5452,0
2020,10,0,2234,1
2020,10,1,1739,1
2020,10,2,699,1
2020,10,3,4852,1
2020,10,4,4750,1
2020,10,5,5416,1
2020,11,0,3682,1
2020,11,1,2690,1
2020,11,2,576,1
2020,11,3,4454,1
2020,11,4,4391,1
2020,11,5,5092,1
2020,12,0,1340,1
2020,12,1,930,1
2020,12,2,370,1
2020,12,3,4065,1
2020,12,4,4402,1
2020,12,5,5146,1
2021,01,0,891,1
2021,01,1,685,1
2021,01,2,279,1
2021,01,3,3284,1
2021,01,4,3965,1
2021,01,5,4683,1
2021,02,0,1171,3
2021,02,1,757,3
2021,02,2,305,3
2021,02,3,3030,3
2021,02,4,3616,3
2021,02,5,4362,3
2021,03,0,4183,11
2021,03,1,2246,11
2021,03,2,451,11
2021,03,3,4177,11
2021,03,4,4506,11
2021,03,5,5549,11
2021,04,0,4380,1
2021,04,1,3306,1
2021,04,2,1079,1
2021,04,3,5610,1
2021,04,4,5235,1
2021,04,5,5293,1
2021,05,0,4036,15
2021,05,1,1874,15
2021,05,2,568,15
2021,05,3,3933,15
2021,05,4,4229,15
2021,05,5,4767,15
2021,06,0,2657,0
2021,06,1,1278,0
2021,06,2,416,0
2021,06,3,3715,0
2021,06,4,3906,0
2021,06,5,4449,0
2021,07,0,1215,0
2021,07,1,1071,0
2021,07,2,392,0
2021,07,3,3323,0
2021,07,4,3529,0
2021,07,5,3979,0
2021,08,0,649,0
2021,08,1,829,0
2021,08,2,407,0
2021,08,3,3613,0
2021,08,4,3927,0
2021,08,5,4438,0
2021,09,0,2113,0
2021,09,1,1619,0
2021,09,2,750,0
2021,09,3,5007,0
2021,09,4,4776,0
2021,09,5,4690,0
2021,10,0,4000,0
2021,10,1,2489,0
2021,10,2,643,0
2021,10,3,4764,0
2021,10,4,4286,0
2021,10,5,5162,0
2021,11,0,5609,2
2021,11,1,4138,2
2021,11,2,1297,2
2021,11,3,5410,2
2021,11,4,4835,2
2021,11,5,5612,2
2021,12,0,3519,1
2021,12,1,1511,1
2021,12,2,660,1
2021,12,3,4716,1
2021,12,4,5223,1
2021,12,5,5787,1
